Entry,global_step,lr,test_accuracy,train_log_likelihood
0,5000,0.0063095735,0.9481,-4320488.1953125
1,10000,0.0039810715,0.9539,-3773022.638671875
2,15000,0.0025118869,0.9608,-3428051.6640625
3,20000,0.0015848934,0.9625,-3243794.865234375
4,25000,0.001,0.9637,-3126509.4716796875
5,30000,0.0006309575,0.9657,-3069520.66796875
6,35000,0.0003981072,0.9651,-3039463.90234375
7,40000,0.0002511887,0.9654,-3007145.6748046875
8,45000,0.00015848932,0.9661,-2988827.54296875
9,50000,0.000100000005,0.9663,-2983351.626953125
10,55000,6.309573e-05,0.9665,-2977460.56640625
11,60000,3.981073e-05,0.9662,-2971836.1240234375
12,65000,2.511887e-05,0.9667,-2969982.21875
13,70000,1.5848935e-05,0.9664,-2968502.19140625
14,75000,1.0000001e-05,0.9664,-2967891.2626953125
